PCB,Design,Kind,LEDs,Universes,Output,Centroid_x_mm,Centroid_y_mm,Rotation_deg,Spacer_holes
1,A,disc,172,1+2,1,0.0,-0.3,0,12
2,B,wedge,109,2+3,1,166.0,437.5,0.0,12
3,B,wedge,109,3+4,1,348.4,348.4,30.0,12
4,B,wedge,109,4,1,437.5,166.0,60.0,12
5,B,wedge,109,4+5,1,437.5,-166.0,90.0,12
6,B,wedge,109,6,2,348.4,-348.4,120.0,12
7,B,wedge,109,6+7,2,166.0,-437.5,150.0,12
8,B,wedge,109,7+8,2,-166.0,-437.5,180.0,12
9,B,wedge,109,8+9,2,-348.4,-348.4,210.0,12
10,B,wedge,109,9+10,2,-437.5,-166.0,240.0,12
11,B,wedge,109,11,3,-437.5,166.0,270.0,12
12,B,wedge,109,11+12,3,-348.4,348.4,300.0,12
13,B,wedge,109,12+13,3,-166.0,437.5,330.0,12
14,C,wedge,78,13+14,3,210.7,722.4,0.0,9
15,C,wedge,78,14,3,538.7,538.7,30.0,9
16,C,wedge,78,14+15,3,722.4,210.7,60.0,9
17,C,wedge,78,15,3,722.4,-210.7,90.0,9
18,C,wedge,78,16,4,538.7,-538.7,120.0,9
19,C,wedge,78,16+17,4,210.7,-722.4,150.0,9
20,C,wedge,78,17,4,-210.7,-722.4,180.0,9
21,C,wedge,78,17+18,4,-538.7,-538.7,210.0,9
22,C,wedge,78,18+19,4,-722.4,-210.7,240.0,9
23,C,wedge,78,19,4,-722.4,210.7,270.0,9
24,C,wedge,78,19+20,4,-538.7,538.7,300.0,9
25,C,wedge,78,20,4,-210.7,722.4,330.0,9
